ERA,LAUNCH_YEAR,PRODUCT_NAME,DISTRIBUTOR,CATEGORY,PRODUCT_TYPE,FORMULA,PRICE_USD,SIZE_OZ,PRICE_PER_OZ,SHADE_COUNT,FINISH_FAMILY,PACKAGING_THEME,PKG_SHAPE,PKG_HAS_CHROME,PKG_HAS_NOVELTY,PKG_HAS_MIRROR,HERO_CLAIMS,SOURCE_URL_OR_NOTE,SOURCE_CONFIDENCE,IS_COMPLEXION,IS_COLOR_COSMETICS,PRODUCT_ROLE
original_launch,2013,Magic Marc'er Precision Pen Eyeliner,Kendo,Eyes,Eyeliner,Liquid,30,0.11,272.73,1,Shine,Black calligraphy-shaped pen,pen,FALSE,FALSE,FALSE,Waterproof; intensely black; precise line,https://www.temptalia.com/product/marc-jacobs-beauty-magic-marcer-precision-pen-eyeliner/,high,FALSE,TRUE,eye_definition
original_launch,2013,O!Mega Omega Lash Volumizing Mascara,Kendo,Eyes,Mascara,Mascara,26,0.25,104.00,1,n/a,Black square tube with rounded edges,tube,FALSE,FALSE,FALSE,e-lash-tic lash technology; lifted/curvaceous/voluminous; flake-proof; run-proof; life-proof; washes off with warm water,https://www.refinery29.com/en-us/marc-jacobs-omega-lash-volumizing-mascara-review,high,FALSE,TRUE,eye_definition
original_launch,2013,Highliner Gel Crayon,Kendo,Eyes,Eyeliner,Gel,26,0.01,2600.00,6,Matte/Metallic,Color-matched pencil; chrome cap,pencil,TRUE,FALSE,FALSE,Waterproof gel pencil; rich pigment; smooth application; intense color,https://www.temptalia.com/product/marc-jacobs-beauty-highliner-gel-crayon/,high,FALSE,TRUE,eye_definition
original_launch,2013,Lust for Lacquer Lip Vinyl,Kendo,Lips,Lip Gloss,Gloss,28,0.16,175.00,12,Sheer/Full/Shimmer/Glitter,"Clear oblong tube with black printed logo, black twist off lid; paddle applicator",tube,FALSE,FALSE,FALSE,Plumping lip gloss; ultimate shine; sheer to full color; champagne-grape infused,https://www.beautylish.com/s/marc-jacobs-beauty-lust-for-lacquer-lip-vinyl-lust-for-life,high,FALSE,TRUE,lip_color
original_launch,2013,Lovemarc Lip Gel,Kendo,Lips,Lipstick,Lipstick,30,0.12,250.00,16,Shine,"Black oval cylinder tube, raised logo in chrome, magnetic closure",tube,TRUE,FALSE,FALSE,Highly pigmented; gellified lipstick; hydrating shine; gently plumps; 3-D optical volumizers,https://www.beautylish.com/p/marc-jacobs-beauty-lovemarc-lip-gel,high,FALSE,TRUE,lip_color
original_launch,2013,Shameless Bold Blush,Kendo,Face,Blush,Powder,30,0.15,200.00,9,Matte,Black square compact with rounded edges; logo engraved in silver; mirror,compact,FALSE,FALSE,TRUE,Inspired by Marc's shameless tattoo; patented powder; unprecedented vibrancy; pure color,https://www.beautylish.com/s/marc-jacobs-beauty-shameless-bold-blush-irresistible,high,TRUE,TRUE,cheek
original_launch,2013,Style Eye-con No. 3 Plush Shadow Palette,Kendo,Eyes,Eyeshadow Palette,Powder,42,0.14,300.00,6,Metallic/Matte/Sheen,"Black rectangular pill-shaped compact with 3 eyeshadow shades; 2 shades are larger, 1 shade smaller; mirror",compact,FALSE,FALSE,TRUE,Richly pigmented; creamy finish; color harmonies,https://www.beautylish.com/s/marc-jacobs-beauty-style-eye-con-no-3-plush-shadow-the-ingenue,high,FALSE,TRUE,eye_color
original_launch,2013,Style Eye-con No. 7 Plush Shadow Palette,Kendo,Eyes,Eyeshadow Palette,Powder,59,0.21,280.95,4,Metallic/Matte/Sheen,Black horizontally-long pill-shaped compact; contains 7 equally sized eyeshadows inside; mirror,compact,FALSE,FALSE,TRUE,Richly pigmented; creamy finish; color harmonies; palette names inspired by the spirit of 'the girl',https://www.temptalia.com/marc-jacobs-beauty-the-starlet-204-style-eye-con-no-7-plush-shadow-palette-review-photos-swatches/,high,FALSE,TRUE,eye_color
original_launch,2013,O!mega Bronze Perfect Tan,Kendo,Face,Bronzer,Powder,49,0.80,61.25,1,Radiant-matte,White square compact with rounded edges; logo engraved in silver; mirror,compact,FALSE,FALSE,TRUE,Universal shade; radiant-matte finish; instantly beautifies skin,https://www.temptalia.com/product/marc-jacobs-beauty-omega-bronzer/tan-tastic/,high,TRUE,TRUE,cheek
original_launch,2013,Enamored Hi-shine Lacquer,Kendo,Nails,Nail Lacquer,Polish,18,0.43,41.86,24,Shine/Metallic/Shimmer/Duochrome,"Short pill-shaped bottle, clear bottom, black cap, white/chrome logo on clear part of bottle",bottle,TRUE,FALSE,FALSE,Superior nail polish; wet-look finish; mirrors 30 coats of lacquer; patented formula,https://www.beautylish.com/s/marc-jacobs-beauty-enamored-hi-shine-nail-lacquer-sally,high,FALSE,TRUE,nail_color
original_launch,2013,Lip Lock Moisture Balm,Kendo,Lips,Lip Balm,Balm,24,0.15,160.00,1,Translucent,"Cylinder tube with chrome bottom, black cap, logo embossed in chrome against black cap",tube,TRUE,FALSE,FALSE,Refreshing mint; precious oils; SPF 18; hydration,https://www.temptalia.com/product/marc-jacobs-beauty-lip-lock-moisture-balm/,high,FALSE,FALSE,skincare
original_launch,2013,Brow Tamer Grooming Gel,Kendo,Eyes,Brow Gel,Gel,24,0.23,104.35,1,Invisible,"Black cylinder tube with chrome twist off top, logo embossed in chrome alongside tube",tube,TRUE,FALSE,FALSE,defines and lifts brows; frames the face; fakes perfect symmetry; tack-free; soft hold; one-swipe taming; custom applicator,https://www.temptalia.com/product/marc-jacobs-beauty-brow-tamer-grooming-gel/invisible-30/,high,FALSE,FALSE,brow
