era,launch_year,product_name,distributor,category,product_type,formula,price_usd,size_oz,price_per_oz,shade_count,finish_family,packaging_theme,pkg_shape,pkg_has_chrome,pkg_has_novelty,pkg_has_mirror,hero_claims,source_url_or_note,source_confidence,is_complexion,is_color_cosmetics,product_role
original_launch,2013,Magic Marc'er Precision Pen Eyeliner,Kendo,Eyes,Eyeliner,Liquid,30,0.11,272.73,1,Shine,Black calligraphy-shaped pen,pen,false,false,false,Waterproof; intensely black; precise line,https://www.temptalia.com/product/marc-jacobs-beauty-magic-marcer-precision-pen-eyeliner/,high,false,true,eye_definition
original_launch,2013,O!Mega Omega Lash Volumizing Mascara,Kendo,Eyes,Mascara,Mascara,26,0.25,104,1,n/a,Black square tube with rounded edges,tube,false,false,false,e-lash-tic lash technology; lifted/curvaceous/voluminous; flake-proof; run-proof; life-proof; washes off with warm water,https://www.refinery29.com/en-us/marc-jacobs-omega-lash-volumizing-mascara-review,high,false,true,eye_definition
original_launch,2013,Highliner Gel Crayon,Kendo,Eyes,Eyeliner,Gel,26,0.01,2600,6,Matte/Metallic,Color-matched pencil; chrome cap,pencil,true,false,false,Waterproof gel pencil; rich pigment; smooth application; intense color,https://www.temptalia.com/product/marc-jacobs-beauty-highliner-gel-crayon/,high,false,true,eye_definition
original_launch,2013,Lust for Lacquer Lip Vinyl,Kendo,Lips,Lip Gloss,Gloss,28,0.16,175,12,Sheer/Full/Shimmer/Glitter,"Clear oblong tube with black printed logo, black twist off lid; paddle applicator",tube,false,false,false,Plumping lip gloss; ultimate shine; sheer to full color; champagne-grape infused,https://www.beautylish.com/s/marc-jacobs-beauty-lust-for-lacquer-lip-vinyl-lust-for-life,high,false,true,lip_color
original_launch,2013,Lovemarc Lip Gel,Kendo,Lips,Lipstick,Lipstick,30,0.12,250,16,Shine,"Black oval cylinder tube, raised logo in chrome, magnetic closure",tube,true,false,false,Highly pigmented; gellified lipstick; hydrating shine; gently plumps; 3-D optical volumizers,https://www.beautylish.com/p/marc-jacobs-beauty-lovemarc-lip-gel,high,false,true,lip_color
original_launch,2013,Shameless Bold Blush,Kendo,Face,Blush,Powder,30,0.15,200,9,Matte,Black square compact with rounded edges; logo engraved in silver; mirror,compact,false,false,true,Inspired by Marc's shameless tattoo; patented powder; unprecedented vibrancy; pure color,https://www.beautylish.com/s/marc-jacobs-beauty-shameless-bold-blush-irresistible,high,true,true,cheek
original_launch,2013,Style Eye-con No. 3 Plush Shadow Palette,Kendo,Eyes,Eyeshadow Palette,Powder,42,0.14,300,6,Metallic/Matte/Sheen,"Black rectangular pill-shaped compact with 3 eyeshadow shades; 2 shades are larger, 1 shade smaller; mirror",compact,false,false,true,Richly pigmented; creamy finish; color harmonies,https://www.beautylish.com/s/marc-jacobs-beauty-style-eye-con-no-3-plush-shadow-the-ingenue,high,false,true,eye_color
original_launch,2013,Style Eye-con No. 7 Plush Shadow Palette,Kendo,Eyes,Eyeshadow Palette,Powder,59,0.21,280.95,4,Metallic/Matte/Sheen,Black horizontally-long pill-shaped compact; contains 7 equally sized eyeshadows inside; mirror,compact,false,false,true,Richly pigmented; creamy finish; color harmonies; palette names inspired by the spirit of 'the girl',https://www.temptalia.com/marc-jacobs-beauty-the-starlet-204-style-eye-con-no-7-plush-shadow-palette-review-photos-swatches/,high,false,true,eye_color
original_launch,2013,O!mega Bronze Perfect Tan,Kendo,Face,Bronzer,Powder,49,0.8,61.25,1,Radiant-matte,White square compact with rounded edges; logo engraved in silver; mirror,compact,false,false,true,Universal shade; radiant-matte finish; instantly beautifies skin,https://www.temptalia.com/product/marc-jacobs-beauty-omega-bronzer/tan-tastic/,high,true,true,cheek
original_launch,2013,Enamored Hi-shine Lacquer,Kendo,Nails,Nail Lacquer,Polish,18,0.43,41.86,24,Shine/Metallic/Shimmer/Duochrome,"Short pill-shaped bottle, clear bottom, black cap, white/chrome logo on clear part of bottle",bottle,true,false,false,Superior nail polish; wet-look finish; mirrors 30 coats of lacquer; patented formula,https://www.beautylish.com/s/marc-jacobs-beauty-enamored-hi-shine-nail-lacquer-sally,high,false,true,nail_color
original_launch,2013,Lip Lock Moisture Balm,Kendo,Lips,Lip Balm,Balm,24,0.15,160,1,Translucent,"Cylinder tube with chrome bottom, black cap, logo embossed in chrome against black cap",tube,true,false,false,Refreshing mint; precious oils; SPF 18; hydration,https://www.temptalia.com/product/marc-jacobs-beauty-lip-lock-moisture-balm/,high,false,false,skincare
original_launch,2013,Brow Tamer Grooming Gel,Kendo,Eyes,Brow Gel,Gel,24,0.23,104.35,1,Invisible,"Black cylinder tube with chrome twist off top, logo embossed in chrome alongside tube",tube,true,false,false,defines and lifts brows; frames the face; fakes perfect symmetry; tack-free; soft hold; one-swipe taming; custom applicator,https://www.temptalia.com/product/marc-jacobs-beauty-brow-tamer-grooming-gel/invisible-30/,high,false,false,brow
